"Latitude","Longitude","Population"
42.5,1.5166667,0.00064897321509971
42.5666667,1.6,0.000104572678615186
42.5333333,1.5833333,0.000356538197076806
42.55,1.5166667,0.000229062450028586
42.5,1.5333333,0.000503613379940813
42.55,1.5333333,8.10978276137817e-05
42.4666667,1.5,0.000254760899906984
24.466667,54.366667,0.0191765390750807
25.258172,55.304717,0.0361295428045643
25.35731,55.403304,0.0172786974335666
34.082481,70.668152,0.000479598512069282
32.758698,61.653969,0.000318387593487244
35.633484,69.260195,0.000858753886294937
34.873113,71.14697,0.00153745979494988
35.033328,71.358087,0.000498975587997369
36.26468,68.015512,0.00152084633476891
34.173553,69.645728,0.000397897136188888
36.130684,68.708286,0.0034459747110735
34.493761,69.274274,0.000961102966033129
33.9675,68.948611,0.000708533899304897
37.397734,69.814644,0.000744079715638552
35.016585,69.174011,0.00170559563574884
35.416737,65.982341,0.000405902092146065
36.432589,64.920713,0.000432108793196346
36.98782,66.82066,0.000561426950742647
32.624131,65.459659,0.00081583842796896
36.706932,71.570658,0.000385000262702324
32.374508,62.116383,0.00138415853523029
34.508977,68.260739,0.000216483233524451
33.597439,69.225922,0.00329511941011861
33.550833,68.4225,0.00454405136792944
31.820894,64.570048,0.00138619153991782
34.348167,62.199673,0.008668223736486
34.426468,70.45153,0.00636549650516964
36.864768,70.834207,0.000385032028400567
34.516667,69.183333,0.0966817297490021
36.697362,67.698255,0.00206330916366063
33.339512,69.92041,0.00305732139307326
34.653889,61.197778,0.000383951994660313
33.29565,61.952206,0.00053849211661137
35.489361,66.664088,0.000369593899054583
34.671389,70.209444,0.000551134864511991
30.436244,61.838304,0.000449802287117567
36.064904,69.13343,0.000711202217957289
34.95,70.4,0.000542304000400502
32.901111,69.152798,0.0003387811717591
34.5875,68.953333,0.00156201467969153
34.387949,67.023273,0.000427915721028301
31.613323,65.710126,0.0124276941235174
37.039988,66.788912,0.000284048873686814
37.404464,66.074375,0.000477216084701074
36.728955,68.857001,0.00514423247052826
37.126035,69.83045,0.000814599565737492
30.15,62.6,0.000350502714410681
34.107375,64.305199,0.000507202903842245
32.072752,64.835903,0.00043134641643852
36.215443,65.932487,0.00165619997498134
33.146667,68.791667,0.0002340496646527
36.667567,65.752904,0.00176801523279587
33.302944,62.1474,0.00092987728466049
34.855007,69.64917,0.000203300468753703
36.734133,69.533559,0.00204174025455379
33.521176,64.421156,0.000457362523299346
34.594307,61.268951,0.000221692808036264
35.948308,66.42132,0.000381855458576291
32.927751,66.632534,0.000425660356453065
30.966667,61.883333,0.00107666657624031
17.05,-61.8,8.0240153761227e-05
17.1333333,-61.8,2.63972952397386e-05
17.6333333,-61.8333333,2.16642062015664e-05
17.05,-61.7,1.97900300052432e-05
17.0333333,-61.7833333,5.29851846689338e-05
17.0166667,-61.8333333,1.97900300052432e-05
17.0833333,-61.7666667,3.07809615972403e-05
17.05,-61.8,2.30936626224909e-05
18.2166667,-63.05,4.38048978767744e-05
42.3572222,20.0730556,0.000253077317900117
40.5988889,19.7347222,0.000329124399493299
40.7058333,19.9522222,0.00151223783054512
40.6275,20.99,0.000225981177299038
41.4916667,20.2219444,0.000356157008697893
41.6102778,20.0088889,0.000493607184994342
41.0316667,19.9758333,0.000453264748226029
40.5041667,20.2272222,0.000446180997517892
39.9511111,20.0977778,0.000124394474318672
41.3230556,19.4413889,0.00387649521935771
41.1125,20.0822222,0.00320525424978982
40.3377778,20.6788889,0.000250631359135424
40.7238889,19.5561111,0.00189701573335975
42.2647222,20.0269444,2.35701480961324e-05
42.2605556,20.0169444,2.35701480961324e-05
42.0622222,20.0166667,7.74447723158636e-05
41.4783333,19.7177778,0.000332205672222847
40.0758333,20.1388889,0.000744492669715708
40.8697222,20.1844444,0.000367084408893404
40.1016667,19.7447222,0.000145995149123753
41.3816667,19.7602778,0.000350248588824738
41.1855556,19.5569444,0.000932450306218154
40.3130556,20.1894444,7.89695258315164e-05
41.2155556,19.9713889,3.73882268317356e-05
41.4844444,20.1080556,2.16959718998092e-05
39.6588889,20.1813889,4.28519269294914e-05
42.2136111,19.4363889,0.000129540517434
40.6186111,20.7808333,0.00185063781392531
41.4225,20.205,3.71023355475507e-05
41.5091667,19.7927778,0.000676164652795518
40.8002778,19.9166667,0.000577055674278088
42.0769444,20.4219444,0.000570893128818991
41.7797222,20.0836111,4.53931827889127e-05
41.6355556,19.7130556,0.000788583458876667
40.1513889,20.5972222,8.43379288345439e-05
41.7836111,19.6436111,0.000593859728648511
40.0311111,20.2630556,0.000115976564284339
41.1794444,20.315,0.000403138476398944
40.9419444,19.705,0.0013158305183101
40.7058333,20.6997222,0.000118644882936731
41.5775,19.6922222,0.000263083512846588
40.3458333,19.9791667,0.000157271971999935
41.6802778,19.7244444,6.85186111096464e-05
40.3252778,19.4713889,8.27178782241628e-05
